GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	logPadj
chrI.223060	87.2375784	-0.025083718	0.249474226	-0.10054633	0.919910603	0.988645974	0.004959198
chrI.223718	15.03209804	-0.175368175	0.357132797	-0.49104472	0.623394818	0.918118336	0.037101339
chrI.224995	13.02342108	-0.250355212	0.359546966	-0.696307398	0.486236341	0.881063899	0.054992593
chrI.23634	50.65597532	-0.300803563	0.289702353	-1.038319364	0.299121396	0.783750417	0.105822215
chrI.2420	61.07645257	-0.150847086	0.285498494	-0.528363858	0.597246818	0.911350515	0.040314557
chrI.28547	130.0697561	0.385419809	0.230464827	1.672358486	0.094453653	0.515969107	0.2873763
chrI.29746	32.97042434	0.089684902	0.319564535	0.280647232	0.778980985	0.957212316	0.018991722
chrI.30935	45.78338426	0.22376777	0.297354733	0.752528025	0.451733583	0.862337417	0.064322769
chrI.32962	39.98617541	0.435438392	0.30645822	1.420873593	0.155353511	0.625314155	0.203901741
chrI.36355	19.70874829	0.236944275	0.348423815	0.680046151	0.496475239	0.886313837	0.052412471
chrI.39023	17.99123072	0.5528738	0.3515	1.572898433	0.115742338	0.57051795	0.243730687
chrI.41805	38.49607668	-0.232872378	0.310344596	-0.750367112	0.453033633	0.862337417	0.064322769
chrI.446	313.2451947	0.055255057	0.207473773	0.266323095	0.789990388	0.958942511	0.018207428
chrI.48283	134.645964	0.447394404	0.221533521	2.019533667	0.043431782	0.345504474	0.461546324
chrI.52656	68.38426243	0.126437266	0.265663494	0.475930146	0.634124144	0.920293284	0.036073747
chrI.56867	11.2782263	-0.524644382	0.360276039	-1.456228906	0.145329351	0.62105791	0.206867903
chrI.58478	11.12193302	-0.268089845	0.360279172	-0.744116968	0.456805715	0.865671321	0.06264697
chrI.61080	10.46112178	-0.440008204	0.359867964	-1.222693455	0.2214455	0.710066613	0.148700907
chrI.62579	6.884201901	-0.529909916	0.349631644	-1.515623445	0.129614595	0.595946302	0.224792871
chrI.6340	99.10470679	0.565685717	0.242287765	2.334767987	0.019555544	0.218458558	0.660630936
chrI.65549	19.22108885	-0.115028343	0.348213014	-0.330339011	0.741143819	0.947941313	0.023218549
chrI.68438	144.8698675	0.549455122	0.218877591	2.510330634	0.012061817	0.161347681	0.792237272
chrI.69583	77.01834034	0.122390304	0.257802926	0.47474366	0.634969695	0.920524964	0.035964429
chrI.70840	273.5740068	0.270129003	0.189438195	1.425947935	0.153883371	0.625314155	0.203901741
chrI.73292	32.77851115	-0.3119124	0.319845839	-0.975196051	0.32946302	0.800589333	0.096590201
chrI.74824	11.96247772	-0.476931691	0.360171036	-1.324181134	0.185442895	0.668286373	0.175037395
chrI.76205	18.49095486	-0.136557644	0.351767943	-0.388203776	0.697865239	0.939501322	0.027102605
chrI.79514	10.72650038	0.028629089	0.359972475	0.079531329	0.936610013	0.989182429	0.004723607
chrI.84506	23.15695773	0.162730948	0.33897359	0.480069696	0.631177836	0.919875226	0.036271077
chrI.87082	15.22857663	-0.474756784	0.357229038	-1.328998301	0.18384853	0.666449063	0.176233038
chrI.92517	24.72654426	-0.396129814	0.338627512	-1.169809893	0.242077482	0.729252751	0.137121924
chrI.94476	9.248602844	0.10804189	0.358977742	0.300970999	0.763436609	0.954319715	0.020306104
chrI.99783	45.62469246	0.019180038	0.29584271	0.064831877	0.948307861	0.990778594	0.004023385
chrII.100161	53.05503642	-0.383538113	0.288977377	-1.327225396	0.184434134	0.667640504	0.175457324
chrII.101213	53.20064751	0.309540371	0.283345245	1.0924495	0.274635576	0.762630935	0.117685582
chrII.101711	35.25328555	0.270856734	0.316231743	0.856513427	0.391713849	0.840011864	0.07571458
chrII.10560	12.32378557	0.156730557	0.35971191	0.435711336	0.66304618	0.931717494	0.03071575
chrII.107510	73.47011447	-0.050682979	0.264363963	-0.191716671	0.847964146	0.975421358	0.010807739
chrII.111218	9.245726876	-0.172335142	0.358913425	-0.480157971	0.63111507	0.919875226	0.036271077
chrII.113461	12.18153355	-0.390047845	0.360146318	-1.08302605	0.27879686	0.767248349	0.115064037
chrII.116901	116.4698261	0.530258447	0.238303748	2.225136831	0.026072054	0.268447651	0.571140392
chrII.117208	171.4085307	0.307067258	0.209542971	1.465414262	0.142807929	0.617385397	0.209443647
chrII.119163	32.61657854	0.113714578	0.323821596	0.351164281	0.725465106	0.946970477	0.023663561
chrII.122144	47.68442889	-0.028932191	0.297953827	-0.097102933	0.922644651	0.988645974	0.004959198
chrII.122565	68.93276334	-0.010926924	0.267462192	-0.040854089	0.967412219	0.994777108	0.002274217
chrII.124829	70.06253133	-0.275869283	0.267018923	-1.033145067	0.301536016	0.785134107	0.105056156
chrII.127572	16.03541928	-0.652594392	0.356149934	-1.832358594	0.066898013	0.438843959	0.357689875
chrII.132206	37.63316574	0.17828979	0.309266237	0.5764929	0.564282067	0.902143258	0.044724492
chrII.133795	16.00411576	-0.002455959	0.356962804	-0.006880153	0.994510475	0.997609282	0.001039519
chrII.135711	206.7429936	0.648136362	0.198945068	3.25786595	0.001122534	0.029784163	1.526014605
chrII.137570	39.95300949	-0.020787865	0.30550229	-0.068044875	0.945749912	0.990532352	0.004131335
chrII.140353	241.8553979	0.657270938	0.20963101	3.135370755	0.00171637	0.041860367	1.378196968
chrII.141012	76.24205488	0.164104204	0.26714257	0.614294472	0.539020755	0.899112685	0.046185875
chrII.142028	21.59484982	-0.453961478	0.346200737	-1.311266643	0.189767694	0.672541099	0.172281171
chrII.143629	10.95395812	-0.133377842	0.36028081	-0.370205235	0.711229577	0.942515814	0.025711354
chrII.145798	29.08834184	-0.861398703	0.332469717	-2.590908764	0.009572287	0.138396921	0.858873571
chrII.146953	21.33497816	-0.380540224	0.346699332	-1.09760876	0.272375366	0.760589568	0.118849636
chrII.150274	10.85194934	-0.119235818	0.360274834	-0.330957942	0.740676254	0.947941313	0.023218549
chrII.151241	35.65343668	-0.202741941	0.314044636	-0.645583201	0.51854932	0.890986943	0.05012866
chrII.153703	31.46536673	-0.186857719	0.325566352	-0.573946657	0.566003899	0.902143258	0.044724492
chrII.158470	60.951654	0.738589968	0.272503428	2.71038781	0.006720458	0.108666851	0.963902917
chrII.159715	104.7687532	0.257879694	0.239974652	1.07461222	0.282548378	0.769557879	0.113758711
chrII.161330	366.5675349	0.556451546	0.180398528	3.08456811	0.002038479	0.0470996	1.326982777
chrII.164915	94.95396442	0.558121172	0.244320398	2.284382218	0.022349078	0.24126204	0.617511004
chrII.165855	69.91001666	-0.144059527	0.266615328	-0.540327251	0.588971368	0.910708529	0.040620596
chrII.166286	18.16072054	0.24182204	0.351715219	0.687550686	0.491735772	0.883563381	0.053762291
chrII.170405	24.83666383	0.053481865	0.341422985	0.156644008	0.875525417	0.980550262	0.00853014
chrII.171273	40.63202532	0.293204299	0.302863979	0.968105551	0.332991658	0.802003349	0.095823818
chrII.172281	22.75551925	0.071082684	0.341835478	0.207944138	0.835272585	0.972496555	0.012111928
chrII.177616	11.37804754	-0.180842679	0.359327609	-0.50328078	0.614766878	0.915313753	0.038430012
chrII.17954	43.31129551	0.04657414	0.29935739	0.155580392	0.876363781	0.980550262	0.00853014
chrII.181422	33.88623971	-0.208706571	0.317113711	-0.658144267	0.510445434	0.889228355	0.050986698
chrII.182127	84.41473324	0.538854235	0.250028753	2.155169075	0.031148606	0.290399378	0.537004318
chrII.184045	26.26915946	-0.142490705	0.332918889	-0.428004266	0.668648015	0.932782349	0.03021968
chrII.186515	17.19098552	-0.365010426	0.353606416	-1.032250573	0.301954749	0.785134107	0.105056156
chrII.191773	137.6914747	0.252968018	0.220776384	1.145811038	0.251873347	0.741975226	0.129610596
chrII.192178	31.26599071	-0.348523961	0.324319994	-1.074629894	0.282540462	0.769557879	0.113758711
chrII.193577	187.2585044	1.066026902	0.206749046	5.156139395	2.52E-07	4.51E-05	4.345945325
chrII.197388	33.29841399	-0.942761936	0.326145727	-2.89061563	0.003844881	0.072527064	1.139499905
chrII.198342	17.77833135	0.030709109	0.350999515	0.08749046	0.930281668	0.988800601	0.004891278
chrII.201773	91.82202332	0.010091897	0.252103731	0.040030733	0.968068624	0.994777108	0.002274217
chrII.202306	327.5435041	0.444082645	0.181845733	2.442084491	0.014602729	0.178976082	0.747205003
chrII.203119	294.1545504	0.895870045	0.184545789	4.854459419	1.21E-06	0.00015755	3.802581173
chrII.206963	72.95813367	-0.032290896	0.264385145	-0.122135817	0.902791456	0.986409213	0.00594288
chrII.21309	62.14917192	0.237927666	0.271751761	0.875533118	0.381283899	0.833885845	0.078893398
chrII.216420	36.36941603	0.241689556	0.315111086	0.766997946	0.443082736	0.859329161	0.06584045
chrII.217150	364.7929054	0.612641028	0.179972563	3.404080138	0.000663873	0.021100711	1.675702914
chrII.221040	70.52443065	0.292870862	0.263840951	1.11002807	0.266986931	0.756950233	0.120932673
chrII.221845	22.07959605	0.315381729	0.345399492	0.913092624	0.361193829	0.825706723	0.083174179
chrII.226965	73.84340843	-0.838795016	0.272236113	-3.081130596	0.002062162	0.047419902	1.324039352
chrII.227312	219.3228332	-0.245345376	0.199137733	-1.232038614	0.21793466	0.706367353	0.150969381
chrII.235200	16.83526075	0.216553987	0.35289442	0.613650922	0.539446026	0.899313928	0.046088681
chrII.235968	258.2822116	0.379348502	0.192199466	1.973722973	0.048413251	0.36936679	0.432542155
chrII.237543	12.38133154	0.136644586	0.359517761	0.380077429	0.70388794	0.942176066	0.025867933
chrII.23799	25.59242878	-0.049934572	0.338155735	-0.147667382	0.882605275	0.982672586	0.007591159
chrII.238136	23.11679064	0.319318592	0.339156569	0.941507908	0.346444639	0.817683851	0.087414579
chrII.238217	20.99064467	0.057264813	0.34330079	0.16680653	0.867522281	0.978487459	0.009444736
chrII.238889	18.3717385	0.151863008	0.349784683	0.434161401	0.66417124	0.931731483	0.030709229
chrII.241277	38.55878132	-0.382927383	0.313726302	-1.220577874	0.222245888	0.711600342	0.147763852
chrII.242577	19.61744236	-0.239537624	0.348528583	-0.687282581	0.491904673	0.883563381	0.053762291
chrII.245681	69.63621957	0.483514747	0.265423819	1.821670519	0.068504994	0.441962762	0.354614321
chrII.246691	87.6064799	0.284181203	0.250899382	1.132650071	0.257361233	0.745408203	0.127605832
chrII.24735	13.85032904	-0.664541618	0.359558655	-1.848214774	0.064571279	0.430683296	0.365841972
chrII.251270	236.8207766	0.776122094	0.202504978	3.83260749	0.000126792	0.005831232	2.234239663
chrII.254924	28.94758493	-0.057411443	0.329156985	-0.174419641	0.86153568	0.976985494	0.010111885
chrII.255874	40.27252274	-0.004447809	0.308476858	-0.014418616	0.988496007	0.996307562	0.001606573
chrII.256766	22.46299802	0.247536745	0.340424782	0.727140791	0.467139713	0.870635922	0.060163418
chrII.258020	30.65992482	0.489144604	0.322200224	1.518138619	0.128979457	0.595620715	0.225030207
chrII.258661	4.254534963	-0.461378493	0.324394517	-1.422275865	0.154946182	0.625314155	0.203901741
chrII.266272	22.66323699	0.071050456	0.340985421	0.208368016	0.834941628	0.972496555	0.012111928
chrII.267360	22.08950965	-0.184515674	0.34288123	-0.538132912	0.590485292	0.911037892	0.040463559
chrII.269606	82.8628872	0.358051212	0.252857777	1.416018193	0.156770178	0.625314155	0.203901741
chrII.270627	26.8058868	-0.202567183	0.335895836	-0.60306548	0.546465129	0.899313928	0.046088681
chrII.273746	19.32217677	-0.21040165	0.348087185	-0.604451008	0.545543832	0.899313928	0.046088681
chrII.275649	43.55653588	0.111788228	0.298973499	0.373906812	0.708473648	0.942318781	0.025802153
chrII.278511	197.9459686	0.515259874	0.203379291	2.533492338	0.011293221	0.153908473	0.812737469
chrII.280901	52.89934286	-0.50837833	0.295948984	-1.717790421	0.085834849	0.494485545	0.305846399
chrII.288080	120.2239072	-0.020705196	0.233622741	-0.088626629	0.929378645	0.988800601	0.004891278
chrII.291948	91.8197564	-0.147881649	0.247375768	-0.597801675	0.549972273	0.899313928	0.046088681
chrII.296084	26.55170673	-1.144009137	0.342706593	-3.338159114	0.000843354	0.024241419	1.615441958
chrII.29674	98.31429826	0.255522508	0.241853439	1.056517985	0.290731628	0.774802999	0.110808707
chrII.297836	139.1465475	0.263590402	0.223864695	1.177454096	0.239014309	0.727387054	0.138234433
chrII.298118	39.07304727	-0.024751246	0.307352182	-0.080530568	0.935815286	0.989182429	0.004723607
chrII.299913	14.992295	-0.350890562	0.35713904	-0.982504073	0.325851577	0.799669577	0.097089426
chrII.301246	20.87363731	0.375971302	0.344537234	1.09123562	0.275169218	0.763235011	0.117341716
chrII.301608	25.59942917	-0.105403686	0.333807889	-0.315761519	0.752183528	0.951360466	0.0216549
chrII.306022	141.5967649	0.54743813	0.219317314	2.496100828	0.01255669	0.163881779	0.785469331
chrII.306992	73.16309277	0.411188152	0.260040893	1.581244193	0.113822214	0.564434287	0.248386612
chrII.307342	163.124942	0.313914832	0.210882681	1.488575688	0.136599138	0.609646244	0.214922098
chrII.310375	38.73861159	0.527891421	0.30538229	1.72862487	0.083876256	0.48753524	0.311993987
chrII.311490	28.57179564	-0.171757022	0.329804825	-0.520783836	0.602517364	0.913518478	0.039282664
chrII.315317	16.62276512	-0.229367944	0.353739735	-0.648408764	0.516720603	0.890826974	0.050206641
chrII.316641	21.76750595	-0.403722951	0.343904015	-1.173940791	0.240418742	0.727967853	0.137887799
chrII.316896	11.71817968	-0.125900233	0.360154027	-0.349573305	0.726658948	0.946970477	0.023663561
chrII.318033	38.25089746	0.116252348	0.310616398	0.374263398	0.708208361	0.942318781	0.025802153
chrII.324094	26.41242749	0.125914337	0.33223482	0.378991994	0.704693809	0.942176066	0.025867933
chrII.326144	49.90957606	0.006273387	0.293925238	0.021343479	0.98297166	0.995953535	0.001760922
chrII.326712	9.092233427	-0.517862228	0.358006966	-1.446514391	0.148032978	0.624333857	0.204583113
chrII.330250	20.14875714	-0.039217085	0.348335584	-0.112584205	0.910360208	0.98839645	0.005068823
chrII.331572	7.288130841	-0.00530699	0.353550217	-0.01501057	0.988023747	0.996307562	0.001606573
chrII.332298	47.96926131	-0.31340432	0.293436626	-1.068047722	0.285498986	0.770209275	0.113391256
chrII.336939	74.52131229	0.280554548	0.261337551	1.073533241	0.283031933	0.770006312	0.113505715
chrII.338462	49.09956631	0.36279659	0.288046214	1.259508277	0.207846803	0.692201524	0.159767449
chrII.339424	36.01096592	-0.005579226	0.312095296	-0.017876675	0.985737236	0.995953535	0.001760922
chrII.340788	15.94091223	0.391971702	0.35553065	1.10249764	0.270245384	0.75932867	0.119570202
chrII.341253	35.91467183	0.69021149	0.314177252	2.19688563	0.028028615	0.27964914	0.553386512
chrII.341765	62.53204098	0.607216247	0.271614559	2.235580633	0.025379254	0.263297233	0.579553705
chrII.342258	42.61026171	0.398998268	0.30088342	1.326089244	0.184810139	0.668000119	0.17522346
chrII.347324	33.0569729	-0.093933204	0.318921218	-0.294534196	0.768349737	0.955047845	0.019974871
chrII.350735	145.7167614	0.28749674	0.217367636	1.322629006	0.185958783	0.669363633	0.174337887
chrII.353393	18.3296163	0.230132065	0.349082792	0.659247808	0.509736652	0.889001474	0.051097519
chrII.356071	18.58690234	0.106286585	0.352114838	0.301852047	0.762764853	0.954319715	0.020306104
chrII.356625	40.96199074	0.161455979	0.303447809	0.532071658	0.594676366	0.911350515	0.040314557
chrII.35921	11.06488595	-0.376962369	0.360257261	-1.046369941	0.295390265	0.780479938	0.107638256
chrII.360325	44.53653276	0.478660226	0.296584439	1.613908768	0.106547217	0.55146464	0.25848233
chrII.362611	174.996707	0.255453345	0.208312302	1.226299851	0.220085857	0.707115505	0.15050964
chrII.36295	168.4592522	0.317646339	0.215788418	1.472026822	0.141013635	0.615441265	0.210813388
chrII.364586	5.168085856	-0.285066688	0.337076424	-0.845703429	0.39771821	0.843099752	0.074121038
chrII.365738	64.01941114	0.591742119	0.271112292	2.182645847	0.029061901	0.283376014	0.547636913
chrII.366618	25.4042934	0.333409173	0.333791782	0.998853749	0.317865544	0.797802865	0.098104408
chrII.369732	26.00236111	-0.410429521	0.33462353	-1.226541126	0.219995109	0.707115505	0.15050964
chrII.370994	373.7291987	0.503212984	0.195509589	2.573853218	0.010057293	0.142424246	0.84641607
chrII.371963	33.38039635	0.060268622	0.317510006	0.189816449	0.849452966	0.975507342	0.010769458
chrII.375782	573.7862281	0.611436219	0.171465051	3.565952454	0.000362537	0.013262816	1.877364268
chrII.378602	73.43366972	0.595075385	0.259152556	2.296235831	0.021662401	0.236134839	0.626839933
chrII.380008	75.76561707	0.557479865	0.257668447	2.163555035	0.030498516	0.288510293	0.539838688
chrII.382940	32.91804027	0.072994129	0.318927502	0.228873737	0.818967053	0.970695901	0.012916804
chrII.386106	38.57508627	-0.53469994	0.316855332	-1.687520728	0.091503268	0.506911892	0.295067521
chrII.38708	100.4118247	0.104160599	0.240570385	0.432973489	0.66503403	0.931731483	0.030709229
chrII.389207	9.281252419	-0.060751652	0.357330136	-0.170015472	0.864997969	0.977779773	0.009758951
chrII.391678	117.9983628	0.924441913	0.229862512	4.021716738	5.78E-05	0.003321404	2.478678278
chrII.392333	495.7885552	-0.019611362	0.174844073	-0.112164869	0.910692684	0.988468871	0.005037003
chrII.398296	10.87293552	-0.255026353	0.360204519	-0.708004313	0.478942579	0.877022993	0.056989021
chrII.400929	105.9421028	0.152139459	0.237180898	0.641449039	0.521230981	0.892566355	0.049359488
chrII.40462	8.966362497	-0.635744438	0.357420684	-1.778700748	0.075288836	0.461972888	0.335383511
chrII.405390	15.51308145	-0.508332429	0.357133457	-1.423368265	0.154629427	0.625314155	0.203901741
chrII.405779	44.23746791	-0.236041993	0.298639873	-0.790390081	0.429299993	0.855235011	0.067914528
chrII.406364	10.39661188	-0.045377765	0.35980771	-0.12611671	0.89963954	0.986409213	0.00594288
chrII.407233	318.5197289	0.683804501	0.181903989	3.759150666	0.000170491	0.007350909	2.13365898
chrII.407956	42.98279031	-0.097558575	0.307796314	-0.316958229	0.751275298	0.950958955	0.021838228
chrII.408524	332.6984415	0.103493765	0.184067028	0.562261294	0.573938006	0.90564083	0.043044006
chrII.410774	151.7759185	0.369614279	0.216807334	1.70480524	0.088230754	0.499491571	0.301471836
chrII.417596	17.38236335	0.148480895	0.351249478	0.422722036	0.672498076	0.933724327	0.029781326
chrII.418154	68.25806635	0.720031332	0.265343803	2.713578849	0.006656073	0.108588428	0.964216455
chrII.419241	304.5665074	0.195890456	0.183956127	1.064875954	0.286932068	0.771489396	0.112670039
chrII.419706	698.2352383	0.294421182	0.162368931	1.813285221	0.069787842	0.445185584	0.351458908
chrII.423322	135.840533	0.086609597	0.232591363	0.372368069	0.709618824	0.942318781	0.025802153
chrII.425856	60.20799422	0.153065875	0.275478925	0.555635519	0.578460045	0.906207018	0.042772579
chrII.426889	92.03593303	-0.239790265	0.250720434	-0.956404953	0.338867684	0.807126355	0.093058472
chrII.427517	70.51896017	0.215065761	0.265015265	0.811522165	0.417065869	0.849435294	0.070869698
chrII.429215	34.24992541	-0.285687232	0.316768016	-0.901881559	0.367119789	0.825982558	0.083029123
chrII.43062	60.46052367	-0.579779121	0.280363524	-2.067954889	0.038644265	0.330288773	0.481106188
chrII.431811	35.33197077	0.409855131	0.315091813	1.30074827	0.193344634	0.675542379	0.170347401
chrII.435739	33.66499555	0.514310251	0.319610853	1.609176428	0.107577769	0.55383054	0.256623099
chrII.436761	6.395679512	-0.441747387	0.345704347	-1.277818435	0.201313453	0.681726973	0.166389523
chrII.441154	14.01797635	-0.156368638	0.358283821	-0.436437899	0.662519047	0.931717494	0.03071575
chrII.444747	129.4200093	-0.035643807	0.225395101	-0.158139229	0.874347089	0.980550262	0.00853014
chrII.447383	14.26129806	0.113106869	0.357158644	0.316685234	0.751482454	0.9509719	0.021832316
chrII.449323	122.1910751	0.607628175	0.22935779	2.649258934	0.00806685	0.122115418	0.913229499
chrII.45043	72.05110574	0.055883607	0.263109663	0.212396637	0.831797609	0.972496555	0.012111928
chrII.452119	482.1692811	0.036437082	0.17895855	0.203606263	0.838661198	0.973359181	0.01172687
chrII.453226	191.7900185	0.632400579	0.202603233	3.121374573	0.001800089	0.042610933	1.370478958
chrII.454586	28.30961982	-0.019697239	0.329280721	-0.059818987	0.952299803	0.991097906	0.003883441
chrII.458415	27.40548687	-0.288353104	0.331257981	-0.870478963	0.384038711	0.83498799	0.078319771
chrII.461951	62.07334767	0.265459167	0.274711998	0.966318067	0.333885048	0.802392507	0.095613135
chrII.462545	19.86551901	-0.332270671	0.347817774	-0.95530101	0.339425497	0.807126355	0.093058472
chrII.46390	9.206422731	-0.540709283	0.358448559	-1.508471076	0.131434004	0.597463021	0.22368897
chrII.466995	38.51424481	-0.103087139	0.310079792	-0.332453588	0.73954678	0.947941313	0.023218549
chrII.47212	8.823170603	-0.225919086	0.358059778	-0.630953545	0.5280709	0.894563221	0.048388962
chrII.474036	56.59027429	-0.206364439	0.284340435	-0.725765364	0.467982624	0.871198184	0.059883038
chrII.476694	35.75181915	0.464656809	0.310525969	1.496354104	0.134561403	0.603900571	0.21903456
chrII.479023	66.32452356	-0.247318587	0.270980578	-0.912680122	0.361410801	0.825706723	0.083174179
chrII.481005	129.5790612	0.436592343	0.226575188	1.92692036	0.053989556	0.392200651	0.40649169
chrII.483507	33.30973078	-0.052711277	0.317281689	-0.166134003	0.868051496	0.978487459	0.009444736
chrII.484545	30.08608166	-0.451736006	0.327929389	-1.377540476	0.16834521	0.644167209	0.191001386
chrII.48650	18.50416962	-0.130899037	0.349571206	-0.374456003	0.708065084	0.942318781	0.025802153
chrII.486747	20.31151546	-0.381566064	0.348980916	-1.093372293	0.274230373	0.762630935	0.117685582
chrII.488576	67.22884604	0.087017534	0.270996501	0.321102056	0.748133052	0.949719902	0.022404461
chrII.490550	144.5223296	0.901711708	0.217663239	4.142691759	3.43E-05	0.002152688	2.667018986
chrII.492866	65.18696915	0.110355942	0.271044762	0.407150247	0.683897641	0.935914315	0.02876391
chrII.494174	28.05041513	0.142728133	0.334841074	0.426256346	0.669921064	0.932782349	0.03021968
chrII.495377	85.29548472	0.550394921	0.252523107	2.179582404	0.02928843	0.284400928	0.546068991
chrII.496937	48.65259431	0.196930193	0.292613719	0.673003963	0.50094477	0.888381305	0.051400589
chrII.501629	96.47125881	0.252456708	0.241817903	1.04399511	0.296487652	0.780664597	0.107535515
chrII.504428	194.7918768	0.452158351	0.237521655	1.903651063	0.056955644	0.405064512	0.392475804
chrII.505324	41.47216628	0.147611287	0.302176999	0.488492795	0.625200828	0.918495528	0.036922954
chrII.512789	17.46513331	-0.316273588	0.353522038	-0.894636129	0.370981632	0.829000601	0.081445154
chrII.515417	17.65102244	-0.145167397	0.351700708	-0.412758331	0.679783683	0.935914315	0.02876391
chrII.526928	57.34151029	0.197597369	0.278458637	0.709611206	0.477945269	0.87691693	0.057041545
chrII.528071	58.69860364	0.196073112	0.27933558	0.701926736	0.482724854	0.879320378	0.055852862
chrII.532248	23.96142008	-0.389992666	0.342222418	-1.139588308	0.254457859	0.741975226	0.129610596
