GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	logPadj
chrII.301608	37.86057544	0.167984064	0.309618291	0.542552133	0.587438204	0.841125601	0.075139149
chrII.306022	149.6441598	0.075145236	0.250188911	0.300353984	0.763907159	0.921077202	0.035703967
chrII.306992	86.9627458	0.220553013	0.270402586	0.815646834	0.414702155	0.7541035	0.122569044
chrII.307342	223.4771426	0.428089869	0.236719826	1.808424231	0.0705405	0.387972748	0.41119878
chrII.310375	40.31887282	0.104825105	0.306952131	0.341503102	0.73272487	0.906334118	0.042711671
chrII.311490	39.08373032	-0.056187751	0.311490498	-0.180383517	0.856851494	0.952736786	0.021027066
chrII.315317	21.68787163	-0.234635666	0.339892512	-0.69032314	0.489990999	0.797494619	0.098272238
chrII.316641	28.01763757	-0.449934804	0.327629925	-1.373301916	0.169658507	0.554960016	0.255738306
chrII.316896	14.94400617	-0.176502538	0.351537651	-0.502087153	0.615606217	0.855661315	0.067698102
chrII.318033	48.82974939	0.086242863	0.297174379	0.290209616	0.77165588	0.923119362	0.03474214
chrII.324094	41.31410978	0.49781073	0.309217246	1.609906099	0.107418357	0.463974282	0.333506091
chrII.326144	66.76193946	0.077332785	0.279633421	0.276550582	0.782125215	0.925730067	0.033515631
chrII.326712	11.39376778	-0.684737245	0.356518045	-1.92062437	0.054779081	0.352071604	0.453369002
chrII.330250	28.50617396	0.129156357	0.327047372	0.394916356	0.692904619	0.885897909	0.052616323
chrII.331572	8.948663589	-0.076802639	0.356254736	-0.215583489	0.829312427	0.941652454	0.026109357
chrII.332298	78.22866912	0.23298313	0.272143747	0.856103192	0.391940703	0.736025404	0.133107195
chrII.336939	93.01834636	0.198777161	0.265876321	0.747630179	0.454683256	0.775031926	0.110680407
chrII.338462	58.84273032	0.20440206	0.285641875	0.715588568	0.474245435	0.787527924	0.103734038
chrII.339424	47.2898266	0.025243115	0.297976407	0.084715147	0.932487854	0.980403189	0.008595285
chrII.340788	17.47650273	0.153887235	0.346199108	0.444505003	0.656677512	0.871659073	0.059653345
chrII.341253	37.44850089	0.313238704	0.312639198	1.001917566	0.316383408	0.680844686	0.166951948
chrII.341765	76.50739675	0.489145948	0.27557677	1.774989771	0.075899576	0.398108105	0.39999898
chrII.342258	65.33696578	0.72471042	0.284542873	2.546928737	0.010867562	0.187031158	0.728086037
chrII.347324	47.64315943	0.140885353	0.298302876	0.472289625	0.636720075	0.864276182	0.063347455
chrII.350735	192.6586794	0.324530495	0.241730719	1.342528978	0.179424541	0.562925875	0.249548789
chrII.353393	20.93079577	0.017504858	0.338679377	0.051685634	0.958779184	0.987363856	0.005522775
chrII.356071	22.87750239	0.02156268	0.339979592	0.063423454	0.949429311	0.98529736	0.006432681
chrII.356625	55.24227306	0.249729554	0.28911566	0.863770414	0.387714024	0.732500399	0.135192134
chrII.35921	12.91408265	-0.625031521	0.356225958	-1.754592854	0.079328975	0.407835987	0.389514455
chrII.360325	66.80460777	0.763146338	0.280989965	2.715920258	0.006609183	0.15644974	0.805625153
chrII.362611	201.7849187	-0.032879415	0.240707385	-0.136594958	0.891350962	0.96639735	0.01484427
chrII.36295	230.726902	0.430020406	0.244462725	1.759042841	0.078570232	0.404684519	0.39288341
chrII.364586	5.805058466	-0.561191925	0.344520399	-1.628907684	0.103332563	0.45433013	0.342628461
chrII.365738	68.66868779	0.201146559	0.284262157	0.707609345	0.479187888	0.790030151	0.102356334
chrII.366618	38.68847494	0.640424106	0.312125	2.051819323	0.040187225	0.314154424	0.50285682
chrII.369732	39.66593157	-0.051717335	0.310293928	-0.166672082	0.867628073	0.959118418	0.018127769
chrII.370994	487.1571155	0.480880041	0.25122094	1.914171805	0.055598207	0.354246579	0.450694336
chrII.371963	43.44715877	0.074324587	0.317385474	0.234177659	0.814847059	0.93826548	0.027674262
chrII.375782	721.3442277	0.507499987	0.236451582	2.14631673	0.031847718	0.286392233	0.543038765
chrII.378602	95.65652945	0.600268397	0.263343714	2.279410384	0.022642682	0.251938962	0.598704664
chrII.380008	107.0036742	0.721567612	0.260078372	2.774423745	0.00552996	0.146726237	0.833492219
chrII.382940	47.69487668	0.303839304	0.30128848	1.008466384	0.313230618	0.679205503	0.167998804
chrII.386106	50.03981371	-0.54820546	0.298335975	-1.837543933	0.066129637	0.380549453	0.419588898
chrII.38708	141.4794426	0.297097591	0.249955406	1.188602383	0.23459617	0.614515755	0.211466978
chrII.389207	10.88851926	-0.235466362	0.356695123	-0.660133393	0.509168231	0.805133559	0.094132071
chrII.391678	165.590796	1.018742141	0.261659505	3.893388623	9.89E-05	0.018360155	1.736123658
chrII.392333	679.6101505	0.123845641	0.230546847	0.537182107	0.591141829	0.842669188	0.074342885
chrII.398296	17.8243887	0.115776694	0.345459234	0.335138514	0.737520601	0.909146048	0.041366345
chrII.400929	147.5141338	0.313387509	0.248716093	1.260021034	0.207661774	0.5871684	0.231237325
chrII.40462	11.82918951	-0.716061053	0.356565256	-2.008218803	0.044620046	0.325554553	0.487376227
chrII.405390	19.45700289	-0.649752947	0.345619673	-1.879965172	0.060112825	0.366984615	0.435352143
chrII.405779	54.51301894	-0.365367533	0.293857403	-1.243349763	0.213738974	0.595926966	0.224806962
chrII.406364	12.56775532	-0.155467804	0.355960039	-0.43675634	0.662288066	0.875244976	0.057870373
chrII.407233	397.849672	0.574230298	0.230217168	2.494298338	0.012620642	0.197409877	0.704631121
chrII.407956	56.60690957	-0.065938602	0.29400658	-0.224275941	0.822542596	0.938991249	0.027338455
chrII.408524	448.991264	0.200631992	0.225547652	0.889532611	0.373716905	0.723028419	0.140844632
chrII.410774	233.5189588	0.717071803	0.238014101	3.01272823	0.002589107	0.105054886	0.978583743
chrII.417596	19.81127904	-0.077319408	0.341297954	-0.226545185	0.82077742	0.938558883	0.027538476
chrII.418154	85.9866085	0.660040677	0.268087915	2.462030704	0.013815284	0.204589613	0.689116419
chrII.419241	336.7647772	-0.211380399	0.249091042	-0.848606988	0.396100017	0.739163511	0.13125948
chrII.419706	803.4772726	-0.009790614	0.26130891	-0.037467585	0.970112186	0.990494606	0.004147885
chrII.423322	174.7461229	0.066777743	0.24568507	0.271802203	0.785774112	0.927758528	0.032565045
chrII.425856	83.23658685	0.298842602	0.270512985	1.104725535	0.269278536	0.644490371	0.190783567
chrII.426889	140.8815942	0.183402455	0.248730614	0.737353764	0.460907245	0.781393783	0.107130048
chrII.427517	70.0885605	-0.438347282	0.281312281	-1.558223055	0.119180381	0.483631985	0.315484985
chrII.429215	51.54162409	0.055552088	0.29403751	0.188928574	0.850148798	0.949877035	0.022332612
chrII.43062	83.83836148	-0.385049835	0.271335799	-1.41908969	0.155872869	0.535736716	0.271048589
chrII.431811	50.26744369	0.601959416	0.2939351	2.047933088	0.040566556	0.314489322	0.502394096
chrII.435739	32.01562561	-0.067535248	0.325184278	-0.207683005	0.835476488	0.94389852	0.025074695
chrII.436761	8.714378424	-0.471575016	0.355481256	-1.326581946	0.184647011	0.564285816	0.248500866
chrII.441154	16.31079875	-0.384625491	0.349866839	-1.099348233	0.271616202	0.646443882	0.18946917
chrII.444747	193.295328	0.305544794	0.240019654	1.272999062	0.203018375	0.583904546	0.233658144
chrII.447383	20.92185452	0.341410149	0.338302916	1.009184766	0.312886031	0.679205503	0.167998804
chrII.449323	163.4349081	0.656926458	0.244366148	2.688287488	0.007181953	0.162063799	0.790313986
chrII.45043	109.6449931	0.414776039	0.258678624	1.603441493	0.108837216	0.467177705	0.330517891
chrII.452119	634.1894082	0.069892148	0.263583838	0.265160975	0.790885456	0.927887723	0.032504571
chrII.453226	214.4693323	0.287495359	0.246938027	1.164240932	0.244326387	0.623271062	0.205323037
chrII.454586	45.18891707	0.41025072	0.300357501	1.365874726	0.171978287	0.558434547	0.253027722
chrII.458415	33.27558471	-0.458518892	0.319404033	-1.435545091	0.151131829	0.526942673	0.27823663
chrII.461951	89.57889547	0.4910777	0.266830821	1.840408458	0.065708293	0.380549453	0.419588898
chrII.462545	26.43138414	-0.297369532	0.329768053	-0.901753608	0.367187769	0.717583867	0.144127334
chrII.46390	12.99445727	-0.472967295	0.355133587	-1.331801079	0.182925563	0.564078892	0.248660151
chrII.466995	52.86687124	0.024602487	0.292824961	0.084017726	0.933042338	0.980403189	0.008595285
chrII.47212	8.82256806	-0.716244902	0.355435209	-2.015120854	0.043891988	0.323429012	0.490221026
chrII.474036	87.65111729	0.221281282	0.266727036	0.829616994	0.406755365	0.747136424	0.12660009
chrII.476694	43.61561195	0.36145426	0.302629363	1.194379344	0.232329613	0.613741631	0.212014417
chrII.479023	96.54749069	0.047702543	0.266561984	0.178954786	0.857973204	0.952788294	0.021003587
chrII.481005	172.8710332	0.487330138	0.245796828	1.982654295	0.047406058	0.33063484	0.480651385
chrII.483507	47.76706876	0.168765355	0.300198672	0.562178884	0.573994147	0.834131127	0.078765672
chrII.484545	36.35152584	-0.65948557	0.315873015	-2.087818643	0.036814197	0.303336296	0.518075621
chrII.48650	20.23151831	-0.506253742	0.342234418	-1.479260165	0.139070795	0.509926248	0.292492632
chrII.486747	28.63093233	-0.235441415	0.324600464	-0.725326797	0.46825157	0.784255414	0.105542475
chrII.488576	78.10998633	-0.170011707	0.275019748	-0.618179995	0.536456695	0.815924425	0.088350066
chrII.490550	162.8605379	0.589804067	0.253757173	2.324285303	0.020110208	0.239192597	0.621252266
chrII.492866	92.72478224	0.317664853	0.265000735	1.19873197	0.230632183	0.61161569	0.213521382
chrII.494174	38.59680608	0.282658693	0.310286369	0.910960714	0.362316074	0.715885565	0.145156395
chrII.495377	102.9809595	0.396520884	0.260110983	1.524429605	0.127401429	0.494948916	0.305439623
chrII.496937	62.62312078	0.184269507	0.283457358	0.650078405	0.515641578	0.808404978	0.092371021
chrII.501629	132.5753653	0.377756394	0.252459121	1.496307175	0.134573626	0.503619792	0.297897211
chrII.504428	195.378118	-0.147705659	0.2570496	-0.574619289	0.565548804	0.828187823	0.081871159
chrII.505324	45.12151531	-0.243545115	0.304085095	-0.800911055	0.42318314	0.75771041	0.120496746
chrII.512789	29.23742408	0.169305522	0.323007283	0.524153882	0.600171514	0.847102531	0.072064021
chrII.515417	31.04139395	0.427807742	0.320557735	1.334573137	0.182016095	0.563272497	0.249281453
chrII.526928	86.110124	0.510225564	0.268666191	1.899105961	0.057550546	0.359795901	0.443943788
